LIABILITIES          ID                   Segment                           Amount       Rate  Base Rate     Spread    Rate Type  Repricing   Orig. Mat.  Resid. Mat.
======================================================================================================================================================
                     nmd_retail_current_000001 Retail Current (NMD)               28200      2.06%      3.98%     -1.92%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000029 Corporate Treasury (NMD)              46      3.27%      3.98%     -0.71%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000030 Corporate Treasury (NMD)             111      3.34%      3.98%     -0.64%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000031 Corporate Treasury (NMD)              40      3.70%      3.98%     -0.28%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000032 Corporate Treasury (NMD)             111      3.35%      3.98%     -0.63%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000033 Corporate Treasury (NMD)             416      3.38%      3.98%     -0.60%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000034 Corporate Treasury (NMD)             265      3.39%      3.98%     -0.59%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000035 Corporate Treasury (NMD)             214      3.55%      3.98%     -0.43%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000036 Corporate Treasury (NMD)              96      3.57%      3.98%     -0.41%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000037 Corporate Treasury (NMD)             307      2.87%      3.98%     -1.11%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000038 Corporate Treasury (NMD)             188      3.68%      3.98%     -0.30%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000039 Corporate Treasury (NMD)             155      3.77%      3.98%     -0.21%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000040 Corporate Treasury (NMD)             102      3.27%      3.98%     -0.71%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000041 Corporate Treasury (NMD)             144      3.29%      3.98%     -0.69%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000042 Corporate Treasury (NMD)             141      3.39%      3.98%     -0.59%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000043 Corporate Treasury (NMD)              73      3.33%      3.98%     -0.65%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000044 Corporate Treasury (NMD)              60      3.52%      3.98%     -0.46%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000045 Corporate Treasury (NMD)              50      3.09%      3.98%     -0.89%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000046 Corporate Treasury (NMD)              53      3.26%      3.98%     -0.72%      Managed        O/N          0.0          0.0
                     nmd_corporate_treasury_000047 Corporate Treasury (NMD)              96      3.79%      3.98%     -0.19%      Managed        O/N          0.0          0.0
                     term_deposit_0001    Term Deposit                          11      3.17%      3.81%     -0.64%        Fixed    At Mat.         0.25         0.24
                     term_deposit_0002    Term Deposit                          41      3.44%      3.75%     -0.31%        Fixed    At Mat.          0.5         0.38
                     term_deposit_0003    Term Deposit                          24      3.35%      3.67%     -0.32%        Fixed    At Mat.          5.0         4.29
                     term_deposit_0004    Term Deposit                           7      3.76%      3.75%      0.01%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0005    Term Deposit                          28      2.95%      3.54%     -0.59%        Fixed    At Mat.          2.0         1.81
                     term_deposit_0006    Term Deposit                          18      3.17%      3.75%     -0.58%        Fixed    At Mat.          0.5         0.32
                     term_deposit_0007    Term Deposit                          15      3.33%      3.75%     -0.42%        Fixed    At Mat.          0.5         0.27
                     term_deposit_0008    Term Deposit                          22      3.60%      3.81%     -0.21%        Fixed    At Mat.         0.25         0.11
                     term_deposit_0009    Term Deposit                          26      2.98%      3.54%     -0.56%        Fixed    At Mat.          2.0          1.9
                     term_deposit_0010    Term Deposit                          30      3.30%      3.75%     -0.45%        Fixed    At Mat.          0.5         0.22
                     term_deposit_0011    Term Deposit                          39      3.01%      3.55%     -0.54%        Fixed    At Mat.          3.0         2.84
                     term_deposit_0012    Term Deposit                          25      3.46%      3.67%     -0.21%        Fixed    At Mat.          5.0          2.7
                     term_deposit_0013    Term Deposit                           8      3.19%      3.62%     -0.43%        Fixed    At Mat.          1.0         0.58
                     term_deposit_0014    Term Deposit                          15      3.22%      3.54%     -0.32%        Fixed    At Mat.          2.0         0.92
                     term_deposit_0015    Term Deposit                         113      3.02%      3.75%     -0.73%        Fixed    At Mat.          0.5         0.48
                     term_deposit_0016    Term Deposit                          30      3.52%      3.62%     -0.10%        Fixed    At Mat.          1.0         0.67
                     term_deposit_0017    Term Deposit                          80      3.10%      3.67%     -0.56%        Fixed    At Mat.          5.0         4.19
                     term_deposit_0018    Term Deposit                          45      3.19%      3.67%     -0.48%        Fixed    At Mat.          5.0         3.27
                     term_deposit_0019    Term Deposit                          22      3.27%      3.67%     -0.40%        Fixed    At Mat.          5.0         3.69
                     term_deposit_0020    Term Deposit                          23      2.73%      3.67%     -0.94%        Fixed    At Mat.          5.0         3.73
                     term_deposit_0021    Term Deposit                          19      2.61%      3.54%     -0.93%        Fixed    At Mat.          2.0         1.94
                     term_deposit_0022    Term Deposit                           7      3.14%      3.54%     -0.40%        Fixed    At Mat.          2.0         0.97
                     term_deposit_0023    Term Deposit                          20      3.13%      3.62%     -0.49%        Fixed    At Mat.          1.0          1.0
                     term_deposit_0024    Term Deposit                          40      3.09%      3.62%     -0.53%        Fixed    At Mat.          1.0          0.6
                     term_deposit_0025    Term Deposit                          13      3.34%      3.62%     -0.28%        Fixed    At Mat.          1.0         0.52
                     term_deposit_0026    Term Deposit                          25      2.74%      3.54%     -0.80%        Fixed    At Mat.          2.0         1.36
                     term_deposit_0027    Term Deposit                          32      3.63%      3.75%     -0.12%        Fixed    At Mat.          0.5         0.24
                     term_deposit_0028    Term Deposit                          11      2.84%      3.55%     -0.71%        Fixed    At Mat.          3.0         2.49
                     term_deposit_0029    Term Deposit                          15      2.92%      3.54%     -0.62%        Fixed    At Mat.          2.0         1.29
                     term_deposit_0030    Term Deposit                          10      3.32%      3.75%     -0.43%        Fixed    At Mat.          0.5         0.49
                     term_deposit_0031    Term Deposit                          12      3.45%      3.62%     -0.17%        Fixed    At Mat.          1.0         0.71
                     term_deposit_0032    Term Deposit                           9      3.12%      3.81%     -0.69%        Fixed    At Mat.         0.25         0.18
                     term_deposit_0033    Term Deposit                          11      3.07%      3.62%     -0.55%        Fixed    At Mat.          1.0         0.96
                     term_deposit_0034    Term Deposit                          45      2.80%      3.62%     -0.82%        Fixed    At Mat.          1.0         0.98
                     term_deposit_0035    Term Deposit                          11      3.38%      3.81%     -0.43%        Fixed    At Mat.         0.25         0.19
                     term_deposit_0036    Term Deposit                          21      3.72%      3.81%     -0.08%        Fixed    At Mat.         0.25         0.14
                     term_deposit_0037    Term Deposit                          14      3.02%      3.54%     -0.52%        Fixed    At Mat.          2.0         1.25
                     term_deposit_0038    Term Deposit                          39      3.42%      3.62%     -0.20%        Fixed    At Mat.          1.0         0.57
                     term_deposit_0039    Term Deposit                          42      3.24%      3.62%     -0.38%        Fixed    At Mat.          1.0         0.59
                     term_deposit_0040    Term Deposit                          32      3.19%      3.62%     -0.43%        Fixed    At Mat.          1.0         0.95
                     term_deposit_0041    Term Deposit                          23      3.19%      3.67%     -0.48%        Fixed    At Mat.          5.0          2.3
                     term_deposit_0042    Term Deposit                          17      3.13%      3.75%     -0.62%        Fixed    At Mat.          0.5         0.34
                     term_deposit_0043    Term Deposit                           9      3.18%      3.54%     -0.36%        Fixed    At Mat.          2.0         1.51
                     term_deposit_0044    Term Deposit                          62      3.23%      3.81%     -0.58%        Fixed    At Mat.         0.25         0.12
                     term_deposit_0045    Term Deposit                          12      3.46%      3.62%     -0.16%        Fixed    At Mat.          1.0         0.41
                     term_deposit_0046    Term Deposit                          29      3.06%      3.54%     -0.47%        Fixed    At Mat.          2.0         0.88
                     term_deposit_0047    Term Deposit                          36      3.36%      3.75%     -0.39%        Fixed    At Mat.          0.5         0.25
                     term_deposit_0048    Term Deposit                          14      3.01%      3.62%     -0.61%        Fixed    At Mat.          1.0         0.57
                     term_deposit_0049    Term Deposit                          36      2.93%      3.55%     -0.62%        Fixed    At Mat.          3.0         2.21
                     term_deposit_0050    Term Deposit                          31      2.88%      3.54%     -0.66%        Fixed    At Mat.          2.0          0.9
                     term_deposit_0051    Term Deposit                          54      2.98%      3.54%     -0.56%        Fixed    At Mat.          2.0         0.84
                     term_deposit_0052    Term Deposit                          15      3.17%      3.81%     -0.64%        Fixed    At Mat.         0.25         0.19
                     term_deposit_0053    Term Deposit                           9      3.19%      3.67%     -0.48%        Fixed    At Mat.          5.0         3.83
                     term_deposit_0054    Term Deposit                          14      2.99%      3.54%     -0.55%        Fixed    At Mat.          2.0         1.82
                     term_deposit_0055    Term Deposit                          22      3.25%      3.75%     -0.50%        Fixed    At Mat.          0.5         0.48
                     term_deposit_0056    Term Deposit                          20      3.17%      3.55%     -0.38%        Fixed    At Mat.          3.0         2.05
                     term_deposit_0057    Term Deposit                          15      3.05%      3.75%     -0.70%        Fixed    At Mat.          0.5         0.43
                     term_deposit_0058    Term Deposit                           6      3.00%      3.62%     -0.62%        Fixed    At Mat.          1.0         0.76
                     term_deposit_0059    Term Deposit                          26      3.07%      3.62%     -0.55%        Fixed    At Mat.          1.0         0.71
                     term_deposit_0060    Term Deposit                          63      2.95%      3.54%     -0.59%        Fixed    At Mat.          2.0         0.99
                     term_deposit_0061    Term Deposit                          26      3.35%      3.54%     -0.19%        Fixed    At Mat.          2.0         1.74
                     term_deposit_0062    Term Deposit                          28      2.97%      3.75%     -0.78%        Fixed    At Mat.          0.5         0.21
                     term_deposit_0063    Term Deposit                          27      3.11%      3.62%     -0.51%        Fixed    At Mat.          1.0         0.45
                     term_deposit_0064    Term Deposit                          25      3.42%      3.75%     -0.33%        Fixed    At Mat.          0.5         0.31
                     term_deposit_0065    Term Deposit                          34      3.26%      3.81%     -0.55%        Fixed    At Mat.         0.25         0.18
                     term_deposit_0066    Term Deposit                          24      2.95%      3.62%     -0.67%        Fixed    At Mat.          1.0         0.46
                     term_deposit_0067    Term Deposit                          16      3.22%      3.54%     -0.32%        Fixed    At Mat.          2.0         1.98
                     term_deposit_0068    Term Deposit                          12      3.14%      3.54%     -0.40%        Fixed    At Mat.          2.0         1.68
                     term_deposit_0069    Term Deposit                          17      3.02%      3.67%     -0.65%        Fixed    At Mat.          5.0         4.02
                     term_deposit_0070    Term Deposit                          23      3.14%      3.62%     -0.48%        Fixed    At Mat.          1.0         0.77
                     term_deposit_0071    Term Deposit                          16      3.22%      3.81%     -0.59%        Fixed    At Mat.         0.25         0.24
                     term_deposit_0072    Term Deposit                          23      3.36%      3.81%     -0.45%        Fixed    At Mat.         0.25         0.14
                     term_deposit_0073    Term Deposit                          25      3.06%      3.62%     -0.56%        Fixed    At Mat.          1.0         0.81
                     term_deposit_0074    Term Deposit                          32      3.09%      3.55%     -0.46%        Fixed    At Mat.          3.0         1.43
                     term_deposit_0075    Term Deposit                          42      3.16%      3.55%     -0.39%        Fixed    At Mat.          3.0         2.87
                     term_deposit_0076    Term Deposit                          20      3.06%      3.81%     -0.75%        Fixed    At Mat.         0.25         0.13
                     term_deposit_0077    Term Deposit                           9      3.02%      3.55%     -0.53%        Fixed    At Mat.          3.0         2.65
                     term_deposit_0078    Term Deposit                          16      2.98%      3.62%     -0.64%        Fixed    At Mat.          1.0         0.65
                     term_deposit_0079    Term Deposit                          20      3.46%      3.54%     -0.08%        Fixed    At Mat.          2.0         1.45
                     term_deposit_0080    Term Deposit                           6      3.33%      3.81%     -0.47%        Fixed    At Mat.         0.25         0.17
                     term_deposit_0081    Term Deposit                          44      3.31%      3.62%     -0.31%        Fixed    At Mat.          1.0         0.47
                     term_deposit_0082    Term Deposit                          21      2.90%      3.54%     -0.64%        Fixed    At Mat.          2.0         1.41
                     term_deposit_0083    Term Deposit                          24      3.13%      3.75%     -0.62%        Fixed    At Mat.          0.5         0.41
                     term_deposit_0084    Term Deposit                          44      3.46%      3.54%     -0.08%        Fixed    At Mat.          2.0         1.44
                     term_deposit_0085    Term Deposit                          13      2.82%      3.54%     -0.72%        Fixed    At Mat.          2.0         0.86
                     term_deposit_0086    Term Deposit                          27      3.46%      3.81%     -0.35%        Fixed    At Mat.         0.25         0.14
                     term_deposit_0087    Term Deposit                          18      3.31%      3.75%     -0.44%        Fixed    At Mat.          0.5         0.22
                     term_deposit_0088    Term Deposit                          17      3.22%      3.62%     -0.40%        Fixed    At Mat.          1.0         0.53
                     term_deposit_0089    Term Deposit                          12      2.76%      3.54%     -0.78%        Fixed    At Mat.          2.0         1.04
                     term_deposit_0090    Term Deposit                          52      3.32%      3.75%     -0.43%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0091    Term Deposit                          15      3.12%      3.62%     -0.50%        Fixed    At Mat.          1.0         0.86
                     term_deposit_0092    Term Deposit                          29      3.11%      3.62%     -0.51%        Fixed    At Mat.          1.0         0.67
                     term_deposit_0093    Term Deposit                           6      3.02%      3.55%     -0.53%        Fixed    At Mat.          3.0         1.28
                     term_deposit_0094    Term Deposit                          39      2.72%      3.55%     -0.83%        Fixed    At Mat.          3.0         2.68
                     term_deposit_0095    Term Deposit                          36      3.62%      3.75%     -0.13%        Fixed    At Mat.          0.5         0.22
                     term_deposit_0096    Term Deposit                          20      3.55%      3.81%     -0.26%        Fixed    At Mat.         0.25         0.12
                     term_deposit_0097    Term Deposit                          17      3.42%      3.75%     -0.33%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0098    Term Deposit                          25      2.83%      3.62%     -0.79%        Fixed    At Mat.          1.0         0.45
                     term_deposit_0099    Term Deposit                          76      3.07%      3.75%     -0.68%        Fixed    At Mat.          0.5         0.38
                     term_deposit_0100    Term Deposit                           7      3.15%      3.81%     -0.66%        Fixed    At Mat.         0.25         0.16
                     term_deposit_0101    Term Deposit                          31      2.86%      3.62%     -0.76%        Fixed    At Mat.          1.0          0.6
                     term_deposit_0102    Term Deposit                          11      2.80%      3.55%     -0.75%        Fixed    At Mat.          3.0          1.7
                     term_deposit_0103    Term Deposit                          19      3.01%      3.54%     -0.53%        Fixed    At Mat.          2.0         1.24
                     term_deposit_0104    Term Deposit                          17      2.85%      3.54%     -0.69%        Fixed    At Mat.          2.0         0.86
                     term_deposit_0105    Term Deposit                          15      3.14%      3.54%     -0.40%        Fixed    At Mat.          2.0         1.65
                     term_deposit_0106    Term Deposit                          19      3.16%      3.67%     -0.51%        Fixed    At Mat.          5.0         4.73
                     term_deposit_0107    Term Deposit                          10      3.20%      3.75%     -0.55%        Fixed    At Mat.          0.5         0.48
                     term_deposit_0108    Term Deposit                          36      3.33%      3.75%     -0.43%        Fixed    At Mat.          0.5         0.31
                     term_deposit_0109    Term Deposit                           7      3.22%      3.54%     -0.32%        Fixed    At Mat.          2.0         0.91
                     term_deposit_0110    Term Deposit                          27      3.14%      3.75%     -0.61%        Fixed    At Mat.          0.5         0.22
                     term_deposit_0111    Term Deposit                          16      3.33%      3.75%     -0.42%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0112    Term Deposit                          10      2.83%      3.62%     -0.79%        Fixed    At Mat.          1.0         0.59
                     term_deposit_0113    Term Deposit                          22      2.83%      3.62%     -0.79%        Fixed    At Mat.          1.0         0.56
                     term_deposit_0114    Term Deposit                           8      3.46%      3.75%     -0.29%        Fixed    At Mat.          0.5         0.24
                     term_deposit_0115    Term Deposit                          20      3.40%      3.81%     -0.41%        Fixed    At Mat.         0.25         0.13
                     term_deposit_0116    Term Deposit                           8      3.55%      3.81%     -0.26%        Fixed    At Mat.         0.25         0.14
                     term_deposit_0117    Term Deposit                          25      3.12%      3.67%     -0.55%        Fixed    At Mat.          5.0         3.19
                     term_deposit_0118    Term Deposit                          11      2.96%      3.75%     -0.79%        Fixed    At Mat.          0.5         0.33
                     term_deposit_0119    Term Deposit                          15      3.49%      3.81%     -0.32%        Fixed    At Mat.         0.25         0.21
                     term_deposit_0120    Term Deposit                          23      3.34%      3.62%     -0.28%        Fixed    At Mat.          1.0         0.63
                     term_deposit_0121    Term Deposit                          12      3.19%      3.81%     -0.62%        Fixed    At Mat.         0.25         0.15
                     term_deposit_0122    Term Deposit                          19      3.38%      3.75%     -0.38%        Fixed    At Mat.          0.5         0.32
                     term_deposit_0123    Term Deposit                           8      3.37%      3.81%     -0.44%        Fixed    At Mat.         0.25          0.2
                     term_deposit_0124    Term Deposit                          28      3.35%      3.62%     -0.27%        Fixed    At Mat.          1.0         0.63
                     term_deposit_0125    Term Deposit                          56      3.21%      3.62%     -0.41%        Fixed    At Mat.          1.0         0.53
                     term_deposit_0126    Term Deposit                         103      3.37%      3.62%     -0.25%        Fixed    At Mat.          1.0         0.64
                     term_deposit_0127    Term Deposit                          20      2.85%      3.62%     -0.77%        Fixed    At Mat.          1.0          0.9
                     term_deposit_0128    Term Deposit                          31      2.77%      3.55%     -0.78%        Fixed    At Mat.          3.0         1.61
                     term_deposit_0129    Term Deposit                           7      3.37%      3.62%     -0.25%        Fixed    At Mat.          1.0         0.72
                     term_deposit_0130    Term Deposit                          48      3.54%      3.81%     -0.27%        Fixed    At Mat.         0.25         0.25
                     term_deposit_0131    Term Deposit                          31      3.32%      3.81%     -0.49%        Fixed    At Mat.         0.25         0.24
                     term_deposit_0132    Term Deposit                          14      3.36%      3.62%     -0.26%        Fixed    At Mat.          1.0          0.9
                     term_deposit_0133    Term Deposit                          41      3.35%      3.81%     -0.46%        Fixed    At Mat.         0.25          0.2
                     term_deposit_0134    Term Deposit                          17      3.17%      3.54%     -0.37%        Fixed    At Mat.          2.0         0.84
                     term_deposit_0135    Term Deposit                          15      3.00%      3.62%     -0.62%        Fixed    At Mat.          1.0         0.81
                     term_deposit_0136    Term Deposit                          26      3.16%      3.81%     -0.65%        Fixed    At Mat.         0.25         0.22
                     term_deposit_0137    Term Deposit                          10      3.16%      3.75%     -0.59%        Fixed    At Mat.          0.5         0.31
                     term_deposit_0138    Term Deposit                          36      3.33%      3.75%     -0.42%        Fixed    At Mat.          0.5         0.26
                     term_deposit_0139    Term Deposit                          10      3.09%      3.67%     -0.58%        Fixed    At Mat.          5.0         3.14
                     term_deposit_0140    Term Deposit                          10      3.10%      3.54%     -0.44%        Fixed    At Mat.          2.0         1.02
                     term_deposit_0141    Term Deposit                          11      3.20%      3.55%     -0.35%        Fixed    At Mat.          3.0         1.65
                     term_deposit_0142    Term Deposit                          30      3.44%      3.75%     -0.31%        Fixed    At Mat.          0.5         0.34
                     term_deposit_0143    Term Deposit                          13      3.16%      3.67%     -0.51%        Fixed    At Mat.          5.0         2.93
                     term_deposit_0144    Term Deposit                           9      3.54%      3.81%     -0.27%        Fixed    At Mat.         0.25         0.12
                     term_deposit_0145    Term Deposit                          13      3.03%      3.54%     -0.51%        Fixed    At Mat.          2.0          1.9
                     term_deposit_0146    Term Deposit                          19      2.76%      3.54%     -0.78%        Fixed    At Mat.          2.0         0.95
                     term_deposit_0147    Term Deposit                          10      3.14%      3.62%     -0.48%        Fixed    At Mat.          1.0         0.84
                     term_deposit_0148    Term Deposit                          10      3.08%      3.75%     -0.66%        Fixed    At Mat.          0.5         0.47
                     term_deposit_0149    Term Deposit                          69      3.15%      3.75%     -0.60%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0150    Term Deposit                          12      3.27%      3.81%     -0.54%        Fixed    At Mat.         0.25         0.24
                     term_deposit_0151    Term Deposit                          16      3.36%      3.54%     -0.18%        Fixed    At Mat.          2.0          1.2
                     term_deposit_0152    Term Deposit                          15      3.35%      3.81%     -0.46%        Fixed    At Mat.         0.25         0.23
                     term_deposit_0153    Term Deposit                          15      3.15%      3.81%     -0.66%        Fixed    At Mat.         0.25         0.21
                     term_deposit_0154    Term Deposit                          28      3.13%      3.55%     -0.42%        Fixed    At Mat.          3.0         1.58
                     term_deposit_0155    Term Deposit                          34      3.54%      3.81%     -0.27%        Fixed    At Mat.         0.25         0.15
                     term_deposit_0156    Term Deposit                          16      3.17%      3.54%     -0.36%        Fixed    At Mat.          2.0         1.57
                     term_deposit_0157    Term Deposit                           9      3.19%      3.54%     -0.35%        Fixed    At Mat.          2.0         0.82
                     term_deposit_0158    Term Deposit                          41      2.81%      3.67%     -0.86%        Fixed    At Mat.          5.0          3.8
                     term_deposit_0159    Term Deposit                          18      2.78%      3.54%     -0.76%        Fixed    At Mat.          2.0         0.92
                     term_deposit_0160    Term Deposit                          55      3.26%      3.62%     -0.36%        Fixed    At Mat.          1.0         0.51
                     term_deposit_0161    Term Deposit                           5      3.10%      3.62%     -0.52%        Fixed    At Mat.          1.0         0.82
                     term_deposit_0162    Term Deposit                          22      3.04%      3.62%     -0.58%        Fixed    At Mat.          1.0         0.45
                     term_deposit_0163    Term Deposit                          61      2.92%      3.62%     -0.70%        Fixed    At Mat.          1.0         0.93
                     term_deposit_0164    Term Deposit                          16      3.36%      3.62%     -0.26%        Fixed    At Mat.          1.0         0.56
                     term_deposit_0165    Term Deposit                          17      3.07%      3.54%     -0.47%        Fixed    At Mat.          2.0          1.8
                     term_deposit_0166    Term Deposit                          23      3.35%      3.75%     -0.40%        Fixed    At Mat.          0.5         0.41
                     term_deposit_0167    Term Deposit                          14      3.45%      3.75%     -0.30%        Fixed    At Mat.          0.5         0.25
                     term_deposit_0168    Term Deposit                          16      2.89%      3.54%     -0.66%        Fixed    At Mat.          2.0          1.5
                     term_deposit_0169    Term Deposit                          16      3.21%      3.75%     -0.55%        Fixed    At Mat.          0.5         0.23
                     term_deposit_0170    Term Deposit                          13      3.30%      3.62%     -0.32%        Fixed    At Mat.          1.0         0.74
                     term_deposit_0171    Term Deposit                          40      2.56%      3.62%     -1.06%        Fixed    At Mat.          1.0         0.82
                     term_deposit_0172    Term Deposit                          25      3.14%      3.67%     -0.53%        Fixed    At Mat.          5.0         3.76
                     term_deposit_0173    Term Deposit                          22      3.29%      3.55%     -0.26%        Fixed    At Mat.          3.0         1.87
                     term_deposit_0174    Term Deposit                          31      2.75%      3.55%     -0.80%        Fixed    At Mat.          3.0         2.77
                     term_deposit_0175    Term Deposit                          16      3.36%      3.75%     -0.39%        Fixed    At Mat.          0.5         0.24
                     term_deposit_0176    Term Deposit                          12      2.96%      3.62%     -0.66%        Fixed    At Mat.          1.0         0.71
                     term_deposit_0177    Term Deposit                          13      2.92%      3.55%     -0.64%        Fixed    At Mat.          3.0         1.52
                     term_deposit_0178    Term Deposit                          19      2.87%      3.81%     -0.94%        Fixed    At Mat.         0.25         0.19
                     term_deposit_0179    Term Deposit                          10      3.22%      3.75%     -0.53%        Fixed    At Mat.          0.5         0.49
                     term_deposit_0180    Term Deposit                          14      3.06%      3.62%     -0.56%        Fixed    At Mat.          1.0         0.76
                     term_deposit_0181    Term Deposit                          14      3.23%      3.55%     -0.32%        Fixed    At Mat.          3.0         2.06
                     term_deposit_0182    Term Deposit                          69      3.22%      3.62%     -0.40%        Fixed    At Mat.          1.0         0.55
                     term_deposit_0183    Term Deposit                           4      3.00%      3.75%     -0.76%        Fixed    At Mat.          0.5         0.29
                     term_deposit_0184    Term Deposit                          17      3.48%      3.75%     -0.27%        Fixed    At Mat.          0.5         0.41
                     term_deposit_0185    Term Deposit                          54      2.97%      3.55%     -0.58%        Fixed    At Mat.          3.0         2.69
                     term_deposit_0186    Term Deposit                          21      3.11%      3.54%     -0.43%        Fixed    At Mat.          2.0         1.54
                     term_deposit_0187    Term Deposit                          30      3.50%      3.81%     -0.32%        Fixed    At Mat.         0.25         0.12
